Região,Ano,Faixa_Etaria,Obitos
Sudeste,1993,10 a 14 anos,51
Sudeste,1994,10 a 14 anos,47
Sudeste,1995,10 a 14 anos,49
Nordeste,1996,10 a 14 anos,47
Nordeste,1997,10 a 14 anos,54
Nordeste,1998,10 a 14 anos,57
Nordeste,1999,10 a 14 anos,60
Nordeste,2000,10 a 14 anos,79
Nordeste,2001,10 a 14 anos,58
Nordeste,2002,10 a 14 anos,72
Nordeste,2003,10 a 14 anos,57
Nordeste,2004,10 a 14 anos,51
Nordeste,2005,10 a 14 anos,54
Nordeste,2006,10 a 14 anos,63
Nordeste,2007,10 a 14 anos,83
Nordeste,2008,10 a 14 anos,74
Nordeste,2009,10 a 14 anos,77
Nordeste,2010,10 a 14 anos,78
Nordeste,2011,10 a 14 anos,59
Nordeste,2012,10 a 14 anos,69
Nordeste,2013,10 a 14 anos,56
Nordeste,2014,10 a 14 anos,70
Nordeste,2015,10 a 14 anos,68
Nordeste,2016,10 a 14 anos,70
Nordeste,2017,10 a 14 anos,70
Nordeste,2018,10 a 14 anos,58
Nordeste,2019,10 a 14 anos,68
Nordeste,2020,10 a 14 anos,53
Nordeste,2021,10 a 14 anos,57
Nordeste,2022,10 a 14 anos,59
Sudeste,1996,10 a 14 anos,93
Sudeste,1997,10 a 14 anos,118
Sudeste,1998,10 a 14 anos,106
Sudeste,1999,10 a 14 anos,98
Sudeste,2000,10 a 14 anos,105
Sudeste,2001,10 a 14 anos,85
Sudeste,2002,10 a 14 anos,83
Sudeste,2003,10 a 14 anos,90
Sudeste,2004,10 a 14 anos,90
Sudeste,2005,10 a 14 anos,97
Sudeste,2006,10 a 14 anos,86
Sudeste,2007,10 a 14 anos,97
Sudeste,2008,10 a 14 anos,82
Sudeste,2009,10 a 14 anos,116
Sudeste,2010,10 a 14 anos,92
Sudeste,2011,10 a 14 anos,92
Sudeste,2012,10 a 14 anos,94
Sudeste,2013,10 a 14 anos,84
Sudeste,2014,10 a 14 anos,70
Sudeste,2015,10 a 14 anos,114
Sudeste,2016,10 a 14 anos,71
Sudeste,2017,10 a 14 anos,63
Sudeste,2018,10 a 14 anos,73
Sudeste,2019,10 a 14 anos,69
Sudeste,2020,10 a 14 anos,65
Sudeste,2021,10 a 14 anos,67
Sudeste,2022,10 a 14 anos,51
Nordeste,1979,15 a 19 anos,103
Nordeste,1980,15 a 19 anos,112
Nordeste,1981,15 a 19 anos,112
Nordeste,1982,15 a 19 anos,113
Nordeste,1983,15 a 19 anos,115
Nordeste,1984,15 a 19 anos,129
Nordeste,1985,15 a 19 anos,95
Nordeste,1986,15 a 19 anos,109
Nordeste,1987,15 a 19 anos,90
Nordeste,1988,15 a 19 anos,115
Nordeste,1989,15 a 19 anos,95
Nordeste,1990,15 a 19 anos,124
Nordeste,1991,15 a 19 anos,124
Nordeste,1992,15 a 19 anos,99
Nordeste,1993,15 a 19 anos,115
Nordeste,1994,15 a 19 anos,111
Nordeste,1995,15 a 19 anos,121
Sudeste,1979,15 a 19 anos,36
Sudeste,1980,15 a 19 anos,33
Sudeste,1981,15 a 19 anos,31
Sudeste,1982,15 a 19 anos,33
Sudeste,1983,15 a 19 anos,37
Sudeste,1984,15 a 19 anos,35
Sudeste,1985,15 a 19 anos,34
Sudeste,1986,15 a 19 anos,35
Sudeste,1987,15 a 19 anos,49
Sudeste,1988,15 a 19 anos,40
Sudeste,1989,15 a 19 anos,41
Sudeste,1990,15 a 19 anos,40
Sudeste,1991,15 a 19 anos,42
Sudeste,1992,15 a 19 anos,34
Sudeste,1993,15 a 19 anos,44
Sudeste,1994,15 a 19 anos,49
